Employee Identifier,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
32579,Police Officer,626,0,0,626,113.49,102.9,49.58,265.97,891.97
40986,Police Officer,105748.5,28059.73,3293.65,137101.88,19636.2,13890.3,2204.28,35730.78,172832.66
55037,Police Officer,75945.33,1857.18,2125.34,79927.85,13717.25,12346.92,4575.62,30639.79,110567.64
34253,Police Officer,15800,9496.97,3097.93,28394.9,2963.84,2057.82,477.23,5498.89,33893.79
2406,Police Officer,85329.05,3961.53,5679.09,94969.67,15689.33,13890.29,2741.88,32321.5,127291.17
9937,Police Officer,85329.11,6397.95,5189.75,96916.81,15772.45,13890.28,2323.89,31986.62,128903.43
13835,Police Officer,110811.47,8820.79,9467.59,129099.85,20568.18,13890.3,1843.21,36301.69,165401.54
37789,Police Officer,75945.32,3216.7,2110.38,81272.4,13717.24,12346.92,4599.88,30664.04,111936.44
37205,Police Officer,60184.14,1028.61,6723.86,67936.61,10957.79,9838.96,3392.05,24188.8,92125.41
11975,Police Officer,86569.08,11986.44,6423.98,104979.5,16104.94,13890.27,1729.67,31724.88,136704.38
33738,Police Officer,60295.31,1340.81,690.99,62327.11,10803.28,9774.65,4292.77,24870.7,87197.81
39657,Police Officer,85336.95,9834.2,8383.43,103554.58,15760.88,13890.29,2116.12,31767.29,135321.87
30619,Police Officer,11175.5,0,0,11175.5,1983.66,1800.59,862.59,4646.84,15822.34
13743,Police Officer,118314.03,28204.36,10600.35,157118.74,20807.08,13837.49,2638.92,37283.49,194402.23
4611,Police Officer,15800,6938.73,3340.5,26079.23,2963.84,2057.82,438.2,5459.86,31539.09
50469,Police Officer,68761.07,1961.95,1279.69,72002.71,12407.56,11189.4,4442.71,28039.67,100042.38
13298,Police Officer,89782.39,13367.29,11334.19,114483.87,16697.5,13890.28,1869.53,32457.31,146941.18
27763,Police Officer,15800,4585.71,1607.42,21993.13,2963.84,2057.82,369.04,5390.7,27383.83
